animeTitle	b'Great Mazinger'
animeType	b'TV'
animeNumEpisode	56
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	1696
animeRank	
animePopularity	
animeDescription	b'A manga comic book and anime television series by manga artist Go Nagai, made as a direct continuation of the successful Mazinger Z series. It was aired on Japan in 1974, immediately following the end of the first Mazinger series.'
animeRelated	[b'Great Mazinger', b'Mazinger Z', b'Great Mazinger tai Getter Robo', b'Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu', b'God Mazinger', b'Mazinger Z Movie: Infinity']
animeCharacters	[b'Tsurugi, Tetsuya', b'Honoo, Jun', b'Kabuto, Kouji', b'Boss', b'Yumi, Sayaka', b'Archduke Gorgon', b'Kabuto, Shiro', b'Kabuto, Kenzo', b'Marquis Janus', b'Mucha']
animeVoices	[b'\nNoda, Keiichi\nJapanese\n', b'\nNakatani, Yumi\nJapanese\n', b'\nIshimaru, Hiroya\nJapanese\n', b'\nOotake, Hiroshi\nJapanese\n', b'\nTaichi, Kotoe\nJapanese\n', b'\nKatou, Osamu\nJapanese\n', b'\nSawada, Kazuko\nJapanese\n', b'\nShibata, Hidekatsu\nJapanese\n', b'\nKitahama, Haruko\nJapanese\n', b'\nTanonaka, Isamu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatsumata, Tomoharu\n\nEpisode Director\n\n', b'\nYamayoshi, Yasuo\n\nEpisode Director\n\n', b'\nFujikawa, Keisuke\n\nScript, Theme Song Lyrics, Screenplay\n\n', b'\nMizuki, Ichirou\n\nTheme Song Performance\n\n']
