animeTitle	Defend Love
animeType	Music
animeNumEpisode	1
releaseDate	2009-12-15 00:00:00
endDate	
animeNumMembers	2018
animeScore	5.83
animeUsers	1038
animeRank	9273
animePopularity	9411
animeDescription	"The mysterious alter ego of Amuro gets sent to the first Gundam verse. There she meets Mobile Suit Gundam protagonist Amuro Ray and a battle ensues. 
"
animeRelated	['Mobile Suit Gundam', 'Dr.']
animeCharacters	['Ray, Amuro']
animeVoices	[]
animeStaff	[['Amuro, Namie', 'Music']]
