animeTitle	Sore Ike! Anpanman: Baikinman no Gyakushuu
animeType	Movie
animeNumEpisode	1
releaseDate	1990-07-07 00:00:00
endDate	
animeNumMembers	317
animeScore	
animeUsers	
animeRank	13461
animePopularity	14326
animeDescription	"Baikinsennin tells Baikinman about a magical vase called ""Mekoisu no tsubo"" that could grant him the power to destroy Anpanman. A princess of the perished Yaada-koku, Yaada-hime, also seeks the vase to restore her kingdom to its glory. When Anpanman joins forces with her, a furious chase ensues with both sides trying to get their hands on the vase.

(Source: ANN)"
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Batako-san', 'Hamburger-kid', 'Katsudonman']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Sakuma, Rei', 'Mitsuya, Yuuji']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Dreaming', 'Theme Song Performance']]
