animeTitle	Pokemon Best Wishes! Season 2
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	31370
animeRank	
animePopularity	2381
animeDescription	Satoshi, Iris & Dent continue their travels through the Isshu region. After successfully winning his 8th Gym Badge against Homika in Tachiwaki City, Shirona invites everyone to stay at her villa in East Isshu, where old friend Hikari is also staying, and participate in the Pokemon World Tournament Junior Cup before Satoshi participates in the Unova League. Team Rocket, meanwhile, initiate their final plan for the Isshu region-what is their purpose in  their desire for the legendary Pokémon Meloetta?
animeRelated	['Pokemon Best Wishes!', 'Pokemon Movie 15: Kyurem vs. Seikenshi', 'Pokemon: Meloetta no Kirakira Recital', 'Pokemon: Utae Meloetta - Rinka no Mi wo Sagase!', 'Pokemon: Pikachu to Eievui Friends', 'Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei', 'Pokemon Best Wishes! Season 2: Episode N', 'Pokemon Generations']
animeCharacters	['Pikachu', 'Satoshi', 'Dent', 'Iris', 'Meloetta', 'Kojirou', 'Hikari', 'Musashi', 'Shirona', 'Nyarth']
animeVoices	['Ootani, Ikue', 'Matsumoto, Rica', 'Miyano, Mamoru', 'Yuuki, Aoi', 'Nakajima, Megumi', 'Miki, Shinichiro', 'Toyoguchi, Megumi', 'Hayashibara, Megumi', 'Sakurai, Tomo', 'Inuyama, Inuko']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Koga, Kazuomi', 'Episode Director, Storyboard'], ['Yajima, Tetsuo', 'Episode Director, Storyboard'], ['Asada, Yuuji', 'Episode Director']]
