animeTitle	Pet Life
animeType	OVA
animeNumEpisode	1
releaseDate	2011-12-16 00:00:00
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	2265
animeRank	
animePopularity	6533
animeDescription	"Due to a mix-up, Shizumori's underwear ends up being put into the wrong locker by a classmate after P.E. Shizumori now has to spend half the school day without wearing any underwear until she is finally able to return to the locker room. Once there, she's surprised by Ozaki smelling her underwear. He gives her back her bra, but throws the rest on the ground. When Shizumori's leans down to grab it, he makes a candid shot of her wearing no underwear. Armed with photo-evidence of her being an ""exhibitionist"" he blackmails Shizumori into having sex with him. 

(Source: hentaistream) "
animeRelated	['Pet Life']
animeCharacters	['Shizumori, Nodoka', 'Ozaki', 'Mizuno']
animeVoices	['Yamanaka, Masahiro', 'Joubu, Koushin']
animeStaff	[['Momoi, Sakura', 'Producer'], ['Takahashi, Kaoru', 'Script'], ['Kaneko, Hiraku', 'Character Design, Chief Animation Director'], ['Kusatsu, Terunyo', 'Original Creator']]
