animeTitle	Shin Sei Yariman Gakuen Enkou Nikki The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	2462
animeRank	
animePopularity	6261
animeDescription	"Based on a doujin game by Orcsoft.

Saiki Yasuo is a 45 years old office worker. After 20 years of marriage, his wife asked for a divorce and left him. Now, depressed, he spends the nights drinking alone, until one night a girl from the St. Marian Academy approaches him looking for a client.

(Source: English DLSite)"
animeRelated	['Sei Yariman Gakuen Enkou Nikki The Animation', 'Sei Yariman Sisters Pakopako Nikki The Animation']
animeCharacters	['Eri', 'Mana']
animeVoices	['Suzuya, Maya']
animeStaff	[['Orc Soft', 'Original Creator'], ['Mario', 'Original Character Design'], ['Sugibayashi, Yurika', 'Color Design']]
