animeTitle	Onnanoko ni Naritai
animeType	Music
animeNumEpisode	1
releaseDate	2019-10-18 00:00:00
endDate	
animeNumMembers	584
animeScore	7.42
animeUsers	337
animeRank	1906
animePopularity	12633
animeDescription	"Music video for the song Onnanoko ni Naritai by Japanese utaite singer Mafumafu that was featured on his fifth full-length album ""Kagura Iro Artifact"". The music video was animated by MONO-Devoid.

A boy doesn't want to be one anymore and instead would much prefer to a cute girl and live out the fantasy of Cinderella."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
