animeTitle	b'Chikyuugai Shounen Shoujo'
animeType	b'Movie'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In the year 2045, Internet and artificial intelligence have become widespread in the outer space. Following a massive accident at a space station, a group of children are left behind. Using narrowband and SNS, low intelligence AI, and smartphone-controlled drones, they overcome numerous crises.\n\n(Source: MAL News)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
