animeTitle	Mai-Otome Zwei
animeType	OVA
animeNumEpisode	4
releaseDate	2006-11-24 00:00:00
endDate	2007-08-24 00:00:00
animeNumMembers	
animeScore	7.26
animeUsers	9838
animeRank	
animePopularity	4181
animeDescription	"My-Otome Zwei takes place one year after the events of My-Otome. Arika is now a full-fledged Otome (though still under the tutelage of Miss Maria) and Nagi is incarcerated in a prison somewhere in Aries. The various nations are at peace with one another and plan to hold S.O.L.T. (Strategic Otome Limitation Talks) to discuss limiting the numbers of Otome.

A mission to destroy a meteor threatening to collide with Earl sets into motion a chain of events which result in a mysterious shadowy figure attacking Garderobe and several Otome as well as a new, more powerful version of Slave appearing across the planet. To make matters worse, Queen Mashiro disappears following an argument with Arika. The series follows Arika's search for Mashiro as well as Garderobe's attempts to uncover the truth behind the shadowy figure.

(Source: Wikipedia)"
animeRelated	['My Otome Zwei', 'Mai-Otome', 'Mai-Otome Zwei Special']
animeCharacters	['Viola, Shizuru', 'Kruger, Natsuki', 'Yumemiya, Arika', 'Wáng, Nina', 'Tokiha, Mai', 'Blan de Windbloom, Mashiro', 'Sayers, Lena', 'Armitage, Haruka', 'Nao Zhang, Juliet', 'Miyu']
animeVoices	['Shindo, Naomi', 'Chiba, Saeko', 'Kikuchi, Mika', 'Koshimizu, Ami', 'Nakahara, Mai', 'Yukana', 'Yuzuki, Ryouka', 'Nanri, Yuuka']
animeStaff	[['Obara, Masakazu', 'Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['Higuchi, Tatsuto', 'Script'], ['Koshimizu, Ami', 'Theme Song Performance']]
