animeTitle	b'Hanasakeru Seishounen Recaps'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	1255
animeRank	
animePopularity	
animeDescription	b'Recap specials of Hanasakeru Seishounen.'
animeRelated	[b'Hanasakeru Seishounen']
animeCharacters	[b'Fang, Li Ren', b'Raginei, Rumaty Ivan di', b'Kugami Burnsworth, Kajika Louisa', b'Volkan, Eugene Alexandre de', b'Rosenthal, Carl', b'Haga, Toranosuke V.', b'Mong Cheng, Zhao', b'Hafez, Quinza', b'Sheik Di Raginei, Mahaty', b'Burnsworth, Harry']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKakihara, Tetsuya\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nSawaki, Ikuya\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n']
animeStaff	[]
