animeTitle	F-Zero: Falcon Densetsu
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	1977
animeRank	
animePopularity	5803
animeDescription	Rick Wheeler was a police detective who got into a fatal car accident while pursuing the criminal Zoda. He was placed into artificial coldsleep for 150 years. Wheeler is brought back to life by Jody Summer and Dr. Stewart, who work with a group of good racers who try to keep prize money out of the hands of unsavory people like the Dark Million Organization run by Black Shadow and Deathborn.
animeRelated	[]
animeCharacters	['Captain Falcon', 'Suzaku, Ryuu', 'Black Shadow', 'Summer, Jody', 'Levin, Jack', 'Zoda', 'Pico', 'Samurai Goroh', 'Miss Killer', 'The Skull']
animeVoices	['Tanaka, Hideyuki', 'Morikawa, Toshiyuki', 'Wakamoto, Norio', 'Inoue, Kikuko', 'Yao, Kazuki', 'Tsuji, Shinpachi', 'Mochizuki, Kenichi', 'Iwata, Yasunobu', 'Yoshida, Sayuri', 'Fujimoto, Takayuki']
animeStaff	[['Tomobuki, Ami', 'Director, Episode Director, Script, Storyboard'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Sugawara, Miho', 'Sound Director'], ['Miyamoto, Yukihiro', 'Episode Director, Storyboard']]
