animeTitle	b'White Album 2nd Season'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	17897
animeRank	
animePopularity	
animeDescription	b'The second season of White Album, also known as episodes 14-26.'
animeRelated	[b'White Album']
animeCharacters	[b'Ogata, Rina', b'Morikawa, Yuki', b'Fujii, Touya', b'Shinozuka, Yayoi', b'Kawashima, Haruka', b'Mizuki, Mana', b'Matsuyama, Menou', b'Ogata, Eiji', b'Nanase, Akira', b'Sawakura, Misaki']
animeVoices	[b'\nMizuki, Nana\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nPark, Romi\nJapanese\n', b'\nMasu, Nozomi\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nShishido, Rumi\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nTakamoto, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShioya, Yoku\n\nSound Director, Recording\n\n', b'\nMizuki, Nana\n\nTheme Song Performance\n\n', b'\nSuara\n\nTheme Song Performance\n\n', b'\nYoshinari, You\n\nAnimation Director\n\n']
