animeTitle	Argento Soma Special
animeType	Special
animeNumEpisode	1
releaseDate	2002-03-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	1523
animeRank	
animePopularity	7962
animeDescription	"The pilot Sue Harris goes to a mission on a frozen country, there she suffers an accident on the mountains and her life is in severe danger. Trying to survive on the harsh enviroment, she encounters an alien and engages in combat with it. The two beings will use all means possible to escape of that dead trap alive.
"
animeRelated	['Argento Soma']
animeCharacters	['Harris, Sue', 'Green, Guinevere', 'Heartland, Michael', 'Ines, Lana', 'Simmons, Dan']
animeVoices	['Horie, Yui', 'Inoue, Kikuko', 'Nakata, Jouji', 'Sayuri', 'Koyasu, Takehito']
animeStaff	[['Murase, Shukou', 'Character Design'], ['Abe, Misao', 'Key Animation'], ['Kawazoe, Masakazu', 'Key Animation']]
