animeTitle	Utawarerumono: Futari no Hakuoro
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	7918
animeScore	
animeUsers	
animeRank	
animePopularity	5847
animeDescription	"After the events of Mask of Deception, the Yamato Empire is now ruled with an iron fist by a ruthless usurper who seeks to subjugate all before him. It's up to a couple of familiar faces to band together against the might of the Imperial army, and the fate of the world hangs in the balance as nations and generals must pick a side to fight with in this perilous civil war. Secrets will be revealed, friendships will be tested, and battles will be fought. Will peace and order be restored or will victory at any cost be the beginning of the end? 

(Source: Atlus)"
animeRelated	['Utawarerumono: Itsuwari no Kamen']
animeCharacters	['Oshutoru']
animeVoices	[]
animeStaff	[]
