animeTitle	b'Dynamic Super Robots Soushingekki'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	419
animeRank	
animePopularity	
animeDescription	b'The Aphrodite A is in trouble. The Mazinger Z, Great Mazinger, Getter Robo G and many other Dynamic Robots must rescue her.'
animeRelated	[b'Shin Getter Robo tai Neo Getter Robo']
animeCharacters	[b'Kabuto, Kouji', b'Ankoku Daishogun', b'Boss', b'Yumi, Sayaka']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNagai, Go\n\nOriginal Creator\n\n']
