animeTitle	Bear Bear Bear Kuma!
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	2480
animeRank	
animePopularity	6579
animeDescription	Mini anime for Kuma Kuma Kuma Bear released weekly on the Kadokawa Anime YouTube channel.
animeRelated	['Kuma Kuma Kuma Bear']
animeCharacters	['Yuna', 'Fina', 'Foschurose, Noire', 'Shuri', 'Farrengram, Misaana']
animeVoices	[]
animeStaff	[['Ishii, Hisashi', 'Director, Episode Director, Storyboard'], ['Fujimoto, Saeka', 'Script'], ['029', 'Original Character Design'], ['Kumanano', 'Original Creator']]
