animeTitle	Shoka
animeType	Special
animeNumEpisode	1
releaseDate	2010-03-27 00:00:00
endDate	
animeNumMembers	4880
animeScore	5.98
animeUsers	2151
animeRank	8752
animePopularity	7062
animeDescription	"The story is set during the turbulent years of the shogunate, as dark forces try to undermine the shogun's power in Edo-era Tokyo. Shirou Sumiya is the leader of the ""Way of the Paper Drawing"" clan which captures the chaos of the struggles with rapid brush strokes. Sumiya is summoned to Edo, and his disciples, who have extraordinary powers in their secret drawing techniques, become part of the ensuring battles with giant drawn creatures. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sumiya, Shirou']
animeVoices	['Nakao, Akiyoshi']
animeStaff	[['Yamada, Makoto', 'Director, Storyboard'], ['Koizumi, Kisuke', 'Sound Director'], ['Imaishi, Hiroyuki', 'Key Animation'], ['Kawai, Kenji', 'Music']]
