animeTitle	Naisho no Hanashi
animeType	Music
animeNumEpisode	1
releaseDate	2012-02-01 00:00:00
endDate	
animeNumMembers	4898
animeScore	6.2
animeUsers	1849
animeRank	7694
animePopularity	7063
animeDescription	"Naisho no Hanashi is a pop song by the Japanese duo and idol unit ClariS, written by Ryo. It was released as the unit's fourth single on February 1, 2012, by SME Records. The song was used as the ending theme to the 2012 anime series Nisemonogatari. A music video was produced for the song, directed by Kazuaki Nakamura.

(Source: Wikipedia)"
animeRelated	['Nisemonogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
