animeTitle	b'Super Kuma-san'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	353
animeRank	
animePopularity	
animeDescription	"b'A big studded bear that trudges with a drum and drum stick in his hand... This is Mr. Super Bear! While playing the drum and without any expression on his face, Mr. Bear rescued Maa-kun from a bank robber. One day, Maa-kun found ""Mr. Super Bear"" and a clown entertaining kids by performing for them. Who is this ""Mr. Super Bear""...?\n\n(Source: AniDB)'"
animeRelated	[]
animeCharacters	[b'Super Kuma-san', b'Clown']
animeVoices	[b'\nMatsuno, Taiki\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKaizawa, Yukio\n\nDirector\n\n', b'\nKurata, Ayako\n\nKey Animation\n\n', b'\nAkiyama, Kentarou\n\nBackground Art\n\n', b'\nYoshida, Daisuke\n\nCharacter Design, Animation Director\n\n']
