animeTitle	Pianist
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.98
animeUsers	421
animeRank	
animePopularity	10737
animeDescription	When a famous pianist is badly injured, his hopes for the future are shattered. To aid his recovery, Yuna, a lovely android with a heart of gold, will do anything to help... 
animeRelated	[]
animeCharacters	['Yuna', 'Seiji', 'Woman', 'Takeo', 'Pianist', 'Music Producer', 'Manager']
animeVoices	[]
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director']]
