animeTitle	Seishou Jogangu Alice Doll
animeType	OVA
animeNumEpisode	2
releaseDate	2000-08-18 00:00:00
endDate	2000-10-18 00:00:00
animeNumMembers	
animeScore	5.17
animeUsers	409
animeRank	
animePopularity	10450
animeDescription	"Momoka secretly falls for student Nao. Nao has no girlfriend right now. Strong and brave, she always takes care of Nao's life in cold winter day. And the it is too freezing cold, Momoka decides to take a hot bath and wait for Nao's arrival. Nao returns home as usual. Not knowing why, Momoka suddenly has a reverie for him. She takes action… Nao sees this, still hesitates. Eventually they both...

(Source: AniDB) 
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
