animeTitle	b'King of Prism: Shiny Seven Stars III - Leo x Yuu x Alexander'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The Third movie in the four-part King of Prism: Shiny Seven Stars movie series.'
animeRelated	[b'King of Prism: Shiny Seven Stars II - Kakeru x Joji x Minato', b'King of Prism: Shiny Seven Stars IV - Louis x Shin x Unknown', b'King of Prism: Shiny Seven Stars']
animeCharacters	[b'Yamato, Alexander', b'Saionji, Leo', b'Suzuno, Yuu', b'Ichijou, Shin', b'Takadanobaba, Jouji']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nUchida, Yuuma\n\nTheme Song Performance\n\n', b'\nSaitou, Souma\n\nTheme Song Performance\n\n', b'\nHatanaka, Tasuku\n\nTheme Song Performance\n\n', b'\nYashiro, Taku\n\nTheme Song Performance\n\n']
