animeTitle	Esoragoto Spiral
animeType	Music
animeNumEpisode	1
releaseDate	2016-08-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	430
animeRank	
animePopularity	10632
animeDescription	"Esoragoto Spiral focuses on Seisa, the representative of the Going Home Club, who is lost in her thoughts and tries to fabricate herself by gathering some aspects of bitterness and sweetness. The music video itself was published online and has not been released on any DVD yet.

(Source: Mikagura School Suite Wikia)"
animeRelated	['Mikagura Gakuen Kumikyoku', 'Mikagura Gakuen Kumikyoku (TV)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
