animeTitle	Nana Maru San Batsu
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	28338
animeRank	
animePopularity	2059
animeDescription	"As soon as he entered high school, the first year student Koshiyama Shiki was invited to the mysterious Quiz Study Group led by his senpai. What will Shiki run into when being dragged along by his class mate Mari into the dazzling world of competitive quizzes?!

(Source: Comic Walker)"
animeRelated	['Nana Maru San Batsu']
animeCharacters	['Koshiyama, Shiki', 'Fukami, Mari', 'Mikuriya, Chisato', 'Sasajima, Gakuto', 'Inoue, Daisuke', 'Sasajima, Jinko', 'Sonohara, Akira', 'Niina, Takumi', 'Sonohara, Chiaki', 'Sasaki, Hajime']
animeVoices	['Horie, Shun', 'Kawashima, Umika', 'Ishikawa, Kaito', 'Satou, Takuya', 'Hatanaka, Tasuku', 'Matsuda, Satsumi', 'Nagatsuka, Takuma', 'Suzuki, Tatsuhisa', 'Sakura, Ayane', 'Yamaya, Yoshitaka']
animeStaff	[['Okuwaki, Masaharu', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Kakihara, Yuuko', 'Script, Series Composition'], ['Hirota, Mitsutaka', 'Script']]
