animeTitle	b'Salamander'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	411
animeRank	
animePopularity	
animeDescription	"b""Three tales based on the Gradius video game series by Konami. The planet Latis is under attack by the Space Dragon Salamander and it's war planet, the Bacterian horde destroying everything in sight, their defenses ineffective and losing all hope, three heroes from the planet Gradius join Lord British in defense of his beloved planet.\n\nThen in a prequel, a girl from a distant planet brings an ominous warning to the planet Gradius, the Bacterians and how three people become heroes of the galaxy.\n\nThen we jump to the future, after the signing of a peace treaty, one of our heroes gets captured by the Bacterians, can the military might of Gradius and our remaining heroes save the prisoner from a fate worse than death.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Dan', b'Lord British', b'McBain, Stephanie', b'Evan, Eddie', b'Paula', b'Latis Pilot', b'Doromo', b'Latis Cabinet Minister']
animeVoices	[b'\nTsujitani, Kouji\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nShimamoto, Sumi\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nKatou, Seizou\nJapanese\n', b'\nYanami, Jouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNunokawa, Yuuji\n\nProducer\n\n', b'\nToriumi, Hisayuki\n\nDirector\n\n', b'\nTamano, Harumi\n\nEpisode Director\n\n', b'\nMikimoto, Haruhiko\n\nCharacter Design\n\n']
