animeTitle	Transformers: Scramble City
animeType	OVA
animeNumEpisode	1
releaseDate	1986-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	783
animeRank	
animePopularity	9864
animeDescription	"Beginning with a recap of the coming of the Transformers to Earth and the story of Devastator, the OVA then gets its original story underway, as the Autobots are shown to be in the midst of constructing the powerful ""Scramble City,"" overseen by their newest arrival, Ultra Magnus. 

When the Decepticons learn of this, their combiner robots are deployed to attack, and a battle between them and their Autobot counterparts ensues. 

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Prime, Optimus', 'Starscream', 'Megatron', 'Magnus, Ultra', 'Soundwave', 'Bumblebee', 'Jazz', 'Wheeljack', 'Skywarp', 'Thundercracker']
animeVoices	[]
animeStaff	[['Shimonari, Satoko', 'Theme Song Performance'], ['Kawamori, Shouji', 'Mechanical Design'], ['Hayama, Junichi', 'Key Animation'], ['Sugiura, Shouichirou', 'Art Director']]
