animeTitle	Ultraman USA
animeType	Movie
animeNumEpisode	1
releaseDate	1989-04-15 00:00:00
endDate	
animeNumMembers	1037
animeScore	5.64
animeUsers	323
animeRank	9958
animePopularity	11053
animeDescription	"The lives of three stunt pilots (Scott, Chuck, and Beth) are changed when they gain the ability to transform into three new Ultra-beings, and form the Ultra Force, to battle four giant Sorkin Monsters. 

(Source: AniDB) "
animeRelated	['The☆Ultraman', 'Ultraman M78 Gekijou: Love and Peace']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
