animeTitle	Xanadu Dragonslayer Densetsu
animeType	OVA
animeNumEpisode	1
releaseDate	1988-03-01 00:00:00
endDate	
animeNumMembers	1131
animeScore	5.41
animeUsers	325
animeRank	10632
animePopularity	10828
animeDescription	"Based on the role-playing game ""Legend of Xanadu"". The evil magician Reichswar has killed the King to gain possession of a magic crystal; now he means to use its power to rule the whole of Xanadu. Then the widowed Queen Rieru is kidnapped. One brave young warrior, wielding the magic blade Dragonslayer, goes to her rescue.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	['Yuan', 'All Lakes', 'Yuiry', 'Lefy', 'The King', 'Queen Liel', 'Fiigu, Kamura', 'Athena', 'Agora', 'Kaara']
animeVoices	['Kamiya, Akira', 'Iizuka, Shouzou', 'Watanabe, Naoko', 'Masuyama, Eiko', 'Kishino, Kazuhiko', 'Kawamura, Maria', 'Horikawa, Ryo', 'Tonguu, Kyouko', 'Otsuka, Chikao', 'Yamamoto, Yuriko']
animeStaff	[['Umezawa, Atsutoshi', 'Director'], ['Ishihama, Masashi', 'Key Animation'], ['Yokoyama, Seiji', 'Music'], ['Hayama, Junichi', 'Key Animation']]
