animeTitle	b'Senkou no Night Raid'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	10732
animeRank	
animePopularity	
animeDescription	"b'The year is 1931. The city is Shanghai. Ten years before America will enter World War II, the hydra\'s teeth planted by the first great global conflict are beginning to germinate. Hatching like spiders, they weave the complex web of plots and conspiracies destined to inevitably draw entire nations to the brink of destruction. Caught in the heart of these webs, desperately seeking to separate lies from truth, is ""Sakurai Kikan,"" an ultra-secret intelligence agency staffed by extraordinarily talented individuals with abilities far beyond those of normal humans. Their duty: to stop the darkest plots and eliminate the greatest threats. But in a city built on intrigue, can even a team of clairvoyants, telepaths and espers stand against the ultimate forces of destiny?\n\n(Source: Sentai Filmworks)'"
animeRelated	[b'Senkou no Night Raid Specials', b'Senkou no Night Raid: Aruku Hako', b'Senkou no Night Raid: Yogen']
animeCharacters	[b'Miyoshi, Aoi', b'Iha, Kazura', b'Sonogi, Yukina', b'Kagiya, Natsume', b'Ichinose', b'Kuse', b'Takachiho, Isao', b'Fuuran', b'Nishio', b'Ichishi']
animeVoices	[b'\nYoshino, Hiroyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nIkuta, Yoshiko\nJapanese\n', b'\nHoshino, Takanori\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nMiyauchi, Atsushi\nJapanese\n', b'\nHirata, Hiroaki\nJapanese\n', b'\nFujita, Saki\nJapanese\n', b'\nKatsu, Anri\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshihama, Masashi\n\nDirector, Episode Director\n\n', b'\nMatsumoto, Atsushi\n\nDirector\n\n', b'\nYamada, Minoru\n\nSound Director\n\n', b'\nTakashima, Daisuke\n\nEpisode Director\n\n']
