animeTitle	Yousei Hime Ren
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	1628
animeRank	
animePopularity	7882
animeDescription	"Gou has woved to find the legendary treasure of Salamander. Searching for it he meets Ren, a fairy, who is looking for the four treasures of Heart. Gou's childhood friend Mari is frustrated with Gou running after treasures, but befriends with another fairy Rin. Gou and Ren's treasure hunt messes with a secret project led by Mari's father. It turns out Salamander isn't what Gou thought it was in the first place... 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Chikonlee Chrous, Ren', 'Takarada, Gou', 'Yumenokata, Mari', 'Zenshuuin, Takuma', 'Takarada, Haruki', 'Takarada, Natsuki', 'Takarada, Mizuki', 'Konishi', 'Kyami Coonyo, Leen']
animeVoices	['Takahashi, Miki', 'Yamadera, Kouichi', 'Koorogi, Satomi', 'Horikawa, Ryo', 'Iwatsubo, Rie', 'Ishii, Kouji', 'Hisakawa, Aya']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['AKKO', 'Theme Song Performance'], ['Masudate, Toshihide', 'Character Design']]
