animeTitle	b'Daikyouryuu Jidai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	194
animeRank	
animePopularity	
animeDescription	b'Jun, his female companion, Remi, and her little brother, Chobi, are taken to the Cretaceous Period by a flying saucer.\n\n(Source: AniDB) \n'
animeRelated	[]
animeCharacters	[b'Remi', b'Jun', b'Chobi']
animeVoices	[b'\nMiyawaki, Yasuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorishita, Kouzou\n\nEpisode Director, Storyboard\n\n', b'\nOotani, Kazuo\n\nTheme Song Arrangement\n\n', b'\nRankin, Casey\n\nTheme Song Performance, Theme Song Lyrics\n\n', b'\nIshinomori, Shoutarou\n\nCharacter Design\n\n']
