animeTitle	Stop!! Hibari-kun!
animeType	TV
animeNumEpisode	35
releaseDate	1983-05-20 00:00:00
endDate	1984-01-27 00:00:00
animeNumMembers	
animeScore	7.05
animeUsers	1080
animeRank	
animePopularity	5908
animeDescription	"A teenage boy has now moved in the home of his mother's friend, because she had died a while back. It just so happens that the Yakuza family has four beautiful daughters, but one daughter, Hibari, who is more beautiful then the rest of the daughters, is actually a boy. Hibari just can't keep his hands off our hero and so their crazy yet happy lives go on. 

(Source: ANN)"
animeRelated	['Stop!! Hibari-kun!']
animeCharacters	['Oozora, Hibari', 'Sakamoto, Kousaku', 'Oozora, Suzume', 'Oozora, Tsugumi', 'Oozora, Ibari', 'Oozora, Tsubame', 'Rikiishi, Joe', 'Rouba', 'Tamashiro', 'Kawahana, Hiroshi']
animeVoices	['Majima, Satomi', 'Furuya, Toru', 'Suzuki, Tomiko', 'Hirano, Fumi', 'Yanami, Jouji', 'Irokawa, Kyouko', 'Ootaki, Shinya', 'Suzuki, Reiko', 'Kanie, Eiji', 'Shiozawa, Kaneto']
animeStaff	[['Kawajiri, Yoshiaki', 'Episode Director, Storyboard'], ['Imazawa, Tetsuo', 'Episode Director, Storyboard'], ['Ishiguro, Megumu', 'Episode Director'], ['Ebata, Hiroyuki', 'Episode Director']]
