animeTitle	Ochikobore Fruit Tart
animeType	TV
animeNumEpisode	12
releaseDate	2020-10-12 00:00:00
endDate	2020-12-28 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	7844
animeRank	
animePopularity	3274
animeDescription	"Fourth dormitory of the Rat Production (commonly known as Nezumi-sou)—the place where dropout idol girls live: the former child actor Sekino Roko, musician Nukui Hayu, and model Maehara Nina. Sakura Ino, who always dreamed of becoming an idol, moves in. At the same time, the decision is made to demolish the dormitory. Due to the project launched by the manager Kajino Hoho, ""Ochikobore Fruit Tart,"" occupants of the dormitory form a new idol group called ""Fruit Tart"" and start their activities in order to repay a one hundred million yen debt. 

(Source: MU, edited)"
animeRelated	['Ochikobore Fruit Tart']
animeCharacters	['Sakura, Ino', 'Sekino, Roko', 'Nukui, Hayu', 'Midori, Hemo', 'Maehara, Nina', 'Sekino, Chiko', 'Kogane, Oto', 'Kajino, Hoho', 'Nakamachi, Rua', 'Higashi, Riri']
animeVoices	['Nitta, Hiyori', 'Kubota, Risa', 'Shiraishi, Haruka', 'Moriya, Kyouka', 'Kondou, Reina', 'Sakura, Kaoru', 'Horie, Yui', 'Hikasa, Youko', 'Tanaka, Takako', 'Maeda, Rena']
animeStaff	[['Kawaguchi, Keiichirou', 'Director, Series Composition'], ['Naya, Ryousuke', 'Sound Director'], ['Shiraishi, Haruka', 'Theme Song Performance'], ['Kondou, Reina', 'Theme Song Performance']]
