animeTitle	Urahara
animeType	TV
animeNumEpisode	12
releaseDate	2017-10-04 00:00:00
endDate	2017-12-20 00:00:00
animeNumMembers	
animeScore	5.77
animeUsers	5761
animeRank	
animePopularity	3173
animeDescription	"Three high school girls are putting together a limited-time shop called ""PARK"" in Japan's Harajuku. One day, aliens come to Earth with the intent to steal the famed district's culture. At the same time, a mysterious girl appears. The three girls band together to defeat the alien threat and protect their beloved Harajuku.

(Source: ANN)"
animeRelated	['Tokyo Gambo']
animeCharacters	['Shirako, Mari', 'Sudou, Rito', 'Watatsumugi, Kotoko', 'Ebifuruya', 'Maruno, Misa', 'Sayumin', 'DJ Aoyama']
animeVoices	['Uesaka, Sumire', 'Haruna, Luna', 'Iwami, Manaka', 'Matsumoto, Yasunori', 'Amano, Kokoa', 'Iida, Riho', 'Scully, Reina']
animeStaff	[['Kubo, Amika', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Arakawa, Masatsugu', 'Episode Director, Storyboard, Key Animation'], ['Sugawara, Yukie', 'Script']]
