animeTitle	b'Agigongryong Doolie (Movie)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story begins when the frozen Dooly on the tip of an iceberg drifts from South pole to the Han-River in Seoul, Korea. There he is found by Younghee and Chulsoo, and so their adventure begins. \n\n(Source: Doolynara)'
animeRelated	[b'Agigongryong Doolie']
animeCharacters	[b'Dooly', b'Go, Kildong', b'Mayikol', b'Ttochi', b'Go, Hui-dong', b'Donor', b'Mom, Dooley']
animeVoices	[]
animeStaff	[]
