animeTitle	Yurumates 3D
animeType	TV
animeNumEpisode	13
releaseDate	2012-04-03 00:00:00
endDate	2012-06-26 00:00:00
animeNumMembers	7596
animeScore	6.31
animeUsers	3556
animeRank	7129
animePopularity	5927
animeDescription	"Yurume, an 18-year-old ""ronin"" and recent high school graduate, has high hopes of being accepted and attending Tokyo University. She moves into an apartment complex, the Maison du Wish, located on the outskirts of Tokyo where other ronins living there are studying for upcoming college acceptance exams."
animeRelated	['Yurumates', 'Yurumates 3D Plus', 'Yurumates 3D OVA']
animeCharacters	"['Aida, Yurume', 'Matsukichi', 'Tanaka, Kumi', 'Kawano, Sae', ""Sae's Sister"", 'Ooya', 'Aida, Mother']"
animeVoices	['Momoi, Haruko', 'Hino, Satoshi', 'Matsuki, Miyu', 'Kuwatani, Natsuko', 'Miyazaki, Mayu', 'Satou, Kanami']
animeStaff	[['Tsukimisato, Tomohiro', 'Director'], ['Yuuzumi, Yoshihide', 'Director'], ['Momoi, Haruko', 'Theme Song Performance, Theme Song Composition, Theme Song Lyrics'], ['Katayama, Shuuji', 'Music']]
