animeTitle	Teekyuu 3
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	13630
animeRank	
animePopularity	3696
animeDescription	Third season of Teekyuu series.
animeRelated	['Teekyuu', 'Teekyuu 2', 'Teekyuu 3 Specials', 'Teekyuu 4']
animeCharacters	['Bandou, Marimo', 'Shinjou, Kanae', 'Takamiya, Nasuno', 'Oshimoto, Yuri', 'Michael', 'Kondou, Annenkov', 'Tanaka, Kinako', 'Kondou, Udonko', 'Oshimoto, Youta', 'Bobby']
animeVoices	['Hanazawa, Kana', 'Mimori, Suzuko', 'Narumi, Kyoko', 'Watanabe, Yui', 'Kitamura, Eri', 'Nakashima, Yuki', 'Ishihara, Kaori', 'Oosaka, Ryouta', 'Shimozuma, Yoshiyuki']
animeStaff	[['Itagaki, Shin', 'Director, Sound Director, Episode Director, Script, Storyboard, In-Between Animation, Key Animation, Animation Director, Chief Animation Director, Character Design'], ['Piyo', 'Original Character Design'], ['Terada, Tsugeo', 'Original Creator'], ['Hasegawa, Mai', 'Editing']]
