animeTitle	b'Aikatsu Stars!'
animeType	b'TV'
animeNumEpisode	100
releaseDate	
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	4002
animeRank	
animePopularity	
animeDescription	"b'Yume Nijino has been accepted into Four Stars academy, home of the beautiful and talented S4 idol group. She and the other newcomers are determined to discover their talent, with a choice of specializing in beauty, singing, dancing, or drama. A tough road lies ahead of them, and they must rely on each other to overcome their weaknesses and develop their unique strengths.\n\nAt the first-years\' opening performances, Yume performs stellarly but faints and is unable to remember being on stage at all. Struggling to find her talent, she meets Rola ""Laura"" Sakuraba and the two develop a friendly rivalry, working together to learn and improve.\n\nThough they have their differences, all the students share the same goal: to become the next S4 idol. But hard work and determination, along with teamwork, are needed if they want to join the elite S4.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Aikatsu!', b'Aikatsu Friends!', b'Aikatsu Stars! Movie', b'Aikatsu Planet!']
animeCharacters	[b'Nijino, Yume', b'Sakuraba, Rola', b'Saotome, Ako', b'Kasumi, Mahiru', b'Hoshimiya, Ichigo', b'Kiriya, Aoi', b'Oozora, Akari', b'Toudou, Yurika', b'Shibuki, Ran', b'Hikami, Sumire']
animeVoices	[b'\nTomita, Miyu\nJapanese\n', b'\nAsai, Ayaka\nJapanese\n', b'\nMurakami, Natsumi\nJapanese\n', b'\nMiyamoto, Yume\nJapanese\n', b'\nMorohoshi, Sumire\nJapanese\n', b'\nTadokoro, Azusa\nJapanese\n', b'\nShimoji, Shino\nJapanese\n', b'\nNumakura, Manami\nJapanese\n', b'\nWakui, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoya, Nobuyuki\n\nProducer\n\n', b'\nSatou, Teruo\n\nDirector\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n', b'\nIshiguro, Kyouhei\n\nEpisode Director, Storyboard\n\n']
