animeTitle	Yumemi no E
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13537
animeDescription	"The painter Kuwagata Keisai lived over 200 years ago. He created 'Ways to Sketch', a series of picture books illustrating humans and animals, all richly expressed. One day he was sketching out a carp, just at that moment he slept and he became a carp in dream. A carp was enjoy to swimming, but a fisherman caught that carp...

(Source: Yamamura Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
