animeTitle	b'Bakuretsu Hunters OVA'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	2351
animeRank	
animePopularity	
animeDescription	"b'On the ""Spooner Continent"", a valiant group of Sorcerer Hunters are the people\'s last line of defense against the evil dark magiks unleashed periodically by those who can\'t control it. Saving the world and looking sexy while doing it!\n\n(Source: AniDB)'"
animeRelated	[b'Bakuretsu Hunters']
animeCharacters	[b'Glace, Marron', b'Misu, Tira', b'Glace, Carrot', b'Misu, Chocolate', b'Mocha, Gateau', b'Daughter', b'Big Mom', b'Death Master', b'Marris', b'Glace, Onion']
animeVoices	[b'\nMadono, Mitsuaki\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nFurumoto, Shinnosuke\nJapanese\n', b'\nMizutani, Yuuko\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nTamagawa, Sakiko\nJapanese\n', b'\nShimamoto, Sumi\nJapanese\n', b'\nOoki, Tamio\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshikawa, Mitsuhisa\n\nProducer, Executive Producer\n\n', b'\nMashimo, Kouichi\n\nDirector\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nHabara, Nobuyoshi\n\nDirector\n\n']
