animeTitle	Don: Gokudou Suikoden
animeType	OVA
animeNumEpisode	2
releaseDate	1992-07-01 00:00:00
endDate	1992-09-09 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13741
animeDescription	"Takekichi and Masakazu are two tough guys who are forced to go underground when they lose their boss in a turf war in this modern update of the classic Chinese novel ""Water Margin"". 

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
