animeTitle	Newmanoid Cam: Cam Castin
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1615
animeRank	
animePopularity	7685
animeDescription	Released as a bonus to volume 2 of limited edition Newmanoid Cam adult manga by Urotan.
animeRelated	['Newmanoid Cam']
animeCharacters	['Castin, Cam', 'Yanagisawa, Scott']
animeVoices	['Enokizu, Mao', 'Gouno, Katsuhiko']
animeStaff	[['Nakagawa, Tatsuto', 'Sound Director'], ['Yakushi, Ruri', 'Theme Song Performance'], ['Urotan', 'Original Character Design, Original Creator'], ['Aisaka, Naoki', 'Character Design']]
