animeTitle	Hokuto no Ken Zero: Kenshirou Den
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	4038
animeRank	
animePopularity	5392
animeDescription	"Last of the Shin Kyuuseishu Densetsu pentalogy. A prequel set between Kenshiro's defeat at the hands of Shin and the beginning of the manga. 

(Source: Wikipedia)"
animeRelated	['Hokuto no Ken: Toki-den']
animeCharacters	['Kenshirou', 'Shin', 'Yuria', 'Ryuuken', 'Zeed', 'Gades', 'Jugai']
animeVoices	['Abe, Hiroshi', 'Kirimoto, Takuya', 'Ishida, Yuriko', 'Otsuka, Chikao', 'Kanemitsu, Nobuaki', 'Inada, Tetsu', 'Koyama, Rikiya']
animeStaff	[['Katou, Tomonari', 'Producer'], ['Sanpei, Hijiri', 'Episode Director'], ['Garnet Crow', 'Theme Song Performance'], ['Kajiura, Yuki', 'Music']]
