animeTitle	Dagashi Kashi 2
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	55489
animeRank	
animePopularity	1292
animeDescription	Second season of Dagashi Kashi.
animeRelated	['Dagashi Kashi']
animeCharacters	['Shidare, Hotaru', 'Shikada, Kokonotsu', 'Endou, Saya', 'Hajime, Owari', 'Endou, Tou', 'Shikada, You', 'Shidare, Beniyutaka']
animeVoices	['Taketatsu, Ayana', 'Abe, Atsushi', 'Numakura, Manami', 'Akasaki, Chinatsu', 'Suzuki, Tatsuhisa', 'Fujiwara, Keiji', 'Sugita, Tomokazu']
animeStaff	[['Kuwahara, Satoshi', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['McGuire, Kristen', 'Script'], ['Taketatsu, Ayana', 'Theme Song Performance']]
