animeTitle	Wansa-kun
animeType	TV
animeNumEpisode	26
releaseDate	1973-04-02 00:00:00
endDate	1973-09-24 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12414
animeDescription	The hero of Wansa-kun is Wansa, a puppy who is sold for a pittance, then escapes, and spends much of the rest of the series looking for his mother. 
animeRelated	['Wansa-kun', 'Wansa-kun OVA']
animeCharacters	['Wansa', 'Kota', 'Mr. Glasses', 'Lupan']
animeVoices	['Ohara, Noriko', 'Nozawa, Masako', 'Nagai, Ichiro', 'Yanami, Jouji']
animeStaff	[['Nishizaki, Yoshinobu', 'Producer, Series Composition, Planning'], ['Yamamoto, Eiichi', 'Director'], ['Hata, Masami', 'Episode Director'], ['Fujikawa, Keisuke', 'Theme Song Lyrics']]
