animeTitle	Stitch!
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.09
animeUsers	1868
animeRank	
animePopularity	6829
animeDescription	"A spin-off series of Disney's Lilo & Stitch. 

In the new story, the alien creature Stitch is running off on the mad scientist Jumba's space scooter when he gets caught in a space storm and has to make an emergency landing at Izayoi Island, the southermost tip of Japan. There, he meets Yuuna, a spirited fourth-grade girl who happens to know karate. Yuuna tells Stitch about the Stone of Chitama, a mysterious object that can make any wish come true. However, he has to perform 43 good deeds to receive his wish. 

(Source: ANN)"
animeRelated	['Stitch!: Piko Kara no Chousenjou', 'Disney Tsum Tsum', 'An Ling Yu Shi Di Qi']
animeCharacters	['Stitch', 'Yuuna', 'Jookiba, Jumba', 'Angel', 'Hamsterviel, Jacques von', 'Pelekai, Lilo ', 'Kijimuna', 'Pleakley', 'Obaa']
animeVoices	['Yamadera, Kouichi', 'Kumai, Motoko', 'Iizuka, Shouzou', 'Takeda, Madoka', 'Yanaka, Hiroshi', 'Mitsuya, Yuuji', 'Kyouda, Hisako']
animeStaff	[['Hata, Masami', 'Director'], ['Shimizu, Youji', 'Sound Director'], ['Endou, Takuji', 'Episode Director, Assistant Director'], ['Machida, Touko', 'Script']]
