animeTitle	6♥Princess
animeType	Music
animeNumEpisode	1
releaseDate	2013-10-04 00:00:00
endDate	
animeNumMembers	
animeScore	5.51
animeUsers	2050
animeRank	
animePopularity	7651
animeDescription	"""6HP"" is a magical girl animation produced by Murakami's Ponkotan studio and features character designs by mebae. ""6HP Six Hearts Princess Pink or Black"" is a promotional video for the series cosmetics, created by Shu Uemura. Music is by livetune and vocal is by Hatsune Miku."
animeRelated	['6HP (Six Hearts Princess)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
