animeTitle	Jungle wa Itsumo Hare nochi Guu Deluxe
animeType	OVA
animeNumEpisode	6
releaseDate	2002-08-25 00:00:00
endDate	2003-01-25 00:00:00
animeNumMembers	
animeScore	7.81
animeUsers	6328
animeRank	
animePopularity	5023
animeDescription	"After the events in the city, Haré and family come back to the Jungle. But it is never calm for Haré as he first must deal with an unstable substitute teacher, then with some big news: Weda is pregnant. The answer to how and who will change his family forever. Poor Haré, now has to deal with a father in addition to his drunk mother and Guu, and soon a sibling too.

(Source: ANN)"
animeRelated	['Jungle wa Itsumo Hare nochi Guu', 'Jungle wa Itsumo Hare nochi Guu Final']
animeCharacters	['Guu', 'Haré', 'Weda', 'Clive', 'Asio', 'Mari', 'Chourou', 'Reiji', 'Robert', 'Mamou, Tomoyo']
animeVoices	['Watanabe, Naoko', 'Aikawa, Rikako', 'Morota, Kaoru', 'Madono, Mitsuaki', 'Okiayu, Ryoutarou', 'Matsuoka, Yuki', 'Genda, Tesshou', 'Inoue, Kazuhiko', 'Morikubo, Shoutarou', 'Hikami, Kyouko']
animeStaff	[['Mizushima, Tsutomu', 'Director'], ['Takemoto, Yasuhiro', 'Episode Director, Storyboard'], ['Yamamoto, Yutaka', 'Episode Director, Storyboard'], ['Yokote, Michiko', 'Script, Series Composition']]
