animeTitle	Kimi no Kimochi
animeType	Music
animeNumEpisode	1
releaseDate	2010-08-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17493
animeDescription	Music video for the song Kimi no Kimochi sung by Satoshin (Shin Satou), a well know picture book writer, and Rina (Rina Hatakeyama), a famous child actress, that was featured on NHK's Minna no Uta program. The song was released as a maxi single that same month. The video was animated by Yoshiko Misumi.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
