animeTitle	b'Hinata no Aoshigure'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.94
animeUsers	7757
animeRank	
animePopularity	
animeDescription	"b'Hinata is very good at drawing and falls in love with his classmate, Shigure; however, Hinata is not good at talking to people, so he keeps his feelings in his imagination and drawings. Then, Shigure\'s family decides to move to another town. On the day of their move, Hinata says to himself, ""I must tell her my feelings!"" and starts to chase after the train which is taking Shigure away.\n\n(Source: MAL)'"
animeRelated	[]
animeCharacters	[b'Hinata', b'Shigure']
animeVoices	[b'\nInami, Anju\nJapanese\n', b'\nHayami, Saori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIshida, Hiroyasu\n\nDirector, Screenplay\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nKoyama, Yasumasa\n\nSound Effects\n\n', b'\nArai, Youjirou\n\nCharacter Design, Animation Director\n\n']
