animeTitle	b'Ben-To Picture Drama'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	3669
animeRank	
animePopularity	
animeDescription	b'Picture dramas from the DVD/BDs.'
animeRelated	[b'Ben-To']
animeCharacters	[b'Yarizui, Sen', b'Shaga, Ayame', b'Oshiroi, Hana', b'Shiraume, Ume', b'Inoue, Asebi', b'Sawagi, Kyou']
animeVoices	[b'\nYuuki, Aoi\nJapanese\n', b'\nKayano, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsaura\n\nOriginal Creator\n\n', b'\nShibano, Kaito\n\nOriginal Character Design\n\n']
