animeTitle	Blue Seed 1.5
animeType	OVA
animeNumEpisode	2
releaseDate	1996-06-21 00:00:00
endDate	
animeNumMembers	2215
animeScore	6.43
animeUsers	537
animeRank	6516
animePopularity	9167
animeDescription	"This is a re-telling of the first series. one episode is seen through the view of Momiji, the other is seen through the view of Kusunagi.

(Source: ANN)"
animeRelated	['Blue Seed', 'Blue Seed Omake']
animeCharacters	['Kusanagi, Mamoru', 'Fujimiya, Momiji', 'Sawaguchi, Koume', 'Takeuchi, Ryoko', 'Kunikida, Daitetsu', 'Yamazaki, Sakura', 'Matsudaira, Azusa', 'Sugishita, Shunichi', 'Yaegashi, Yoshiki', 'Yagami, Murakumo']
animeVoices	['Inoue, Kazuhiko', 'Hayashibara, Megumi']
animeStaff	[]
