animeTitle	Hantsu x Trash
animeType	OVA
animeNumEpisode	3
releaseDate	2015-10-06 00:00:00
endDate	2016-11-04 00:00:00
animeNumMembers	
animeScore	5.15
animeUsers	8268
animeRank	
animePopularity	4023
animeDescription	"Hamaji Youhei, a high school freshman, lives his life aimlessly, lazing around all day. He can't keep up with his studies, no good at sports and won't stick with anything for long. Besides that he's a pervert who's continuously rejected by girls. A sophomore convinces him into joining a club where he could lunge at girls, fondling and touching all he wanted. Thus he joined the Water Polo Club.

Can Youhei, who never sticks with anything for long, find his place in this club?"
animeRelated	['Hantsu x Trash']
animeCharacters	['Hagiwara, Chisato', 'Hamaji, Youhei', 'Miyoshi, Manami', 'Nakajima', 'Hayami, Maki', 'Shinozaki, Mai', 'Amamiya', 'Shioda']
animeVoices	['Uchida, Maaya', 'Uchida, Yuuma', 'Itou, Shizuka', 'Matsumoto, Kenta', 'Yamakita, Saki', 'Kubo, Yurika', 'Tatsumi, Yuiko', 'Suzuki, Haruhisa']
animeStaff	[['Nagai, Masaru', 'Producer'], ['Saitou, Hisashi', 'Director'], ['i☆Ris', 'Theme Song Performance'], ['Kobayashi, Hiyoko', 'Original Creator']]
