animeTitle	b'Rape Gouhouka!!!'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.9
animeUsers	2282
animeRank	
animePopularity	
animeDescription	b'Based on the CG collection by Maron\xe2\x98\x86Maron (\xe3\x81\xbe\xe3\x82\x8d\xe3\x82\x93\xe2\x98\x86\xe3\x81\xbe\xe3\x82\x8d\xe3\x82\x93).'
animeRelated	[b'Kyousei Haramase Gouhouka!!!']
animeCharacters	[b'Asamiya, Saki']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMaron\xe2\x98\x86Maron\n\nOriginal Creator\n\n']
