animeTitle	b'Saimin Gakuen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	1873
animeRank	
animePopularity	
animeDescription	"b""(OVA 1: A Boy's Toy)\nShinta Murakoshi just scored the best toy a guy could ever ask for: a hypnotic gun. Armed with the power to make anyone do anything at any time, he sets off to fulfill his fantasies and turn every woman he meets into his secret personal love slave!\n\n(OVA 2: Love Trance)\nShinta continues to add to his hypnotic harem, but when his latest target, the sexy Midori, comes on to him, he's not sure what to do. Does she actually have the hots for him or is it some sort of trick?"""
animeRelated	[b'Saimin Gakuen', b'Saimin Jutsu The Animation 2nd']
animeCharacters	[b'Yano, Midori', b'Kitagawa, Aya', b'Kurasawa, Sanae', b'Takasaki, Mayumi', b'Murakoshi, Shinta', b'Sasahara, Yuu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSuginami, Daifuku\n\nDirector, Character Design\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nMahler, Gustav\n\nMusic\n\n', b'\nTsubone, Kentarou\n\nEditing\n\n']
