animeTitle	Youjuu Kyoushitsu
animeType	OVA
animeNumEpisode	6
releaseDate	1990-05-25 00:00:00
endDate	1994-05-27 00:00:00
animeNumMembers	1903
animeScore	5.23
animeUsers	534
animeRank	
animePopularity	9555
animeDescription	"Demons take multiple forms, in this case there's one thats the mightest of all and has to be satisfied with the flesh of woman. He searches for his preys in the form of a woman, so they won't be feared. 

(Source: ANN)"
animeRelated	['Youjuu Kyoushitsu Gakuen', 'Youjuu Kyoushitsu Gaiden']
animeCharacters	['Ash', 'Asakura, Kayo']
animeVoices	['Takada, Yumi', 'Asada, Yoko']
animeStaff	[['Maeda, Toshio', 'Original Creator']]
