animeTitle	Judo Sanka
animeType	TV
animeNumEpisode	27
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13281
animeDescription	"Based on Hiroshi Kaizuka's manga.

The last TMS sports-themed anime series (""Star of the Giants"" was the first).

Because of low ratings, the series was pulled off the air before later episodes of the original manga could be adapted."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
