animeTitle	b'Dirty Pair Flash 2'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	1256
animeRank	
animePopularity	
animeDescription	"b""Always causing more destruction than they prevent, special agents Kei and Yuri face tough challenges while at an amusement park planet. This anime set finds the pair facing off against an android hit woman, transvestite assassins, ghosts and more. In addition, the Lovely Angels get into several wild adventures while tracking down a con man and giving love advice to the computer programmer they're protecting. \n\n(Source: Netflix) """
animeRelated	[b'Dirty Pair Flash', b'Dirty Pair Flash 3']
animeCharacters	[b'Kei', b'Yuri', b'Ohara, Gold', b'Leena', b'Calbee', b'Touma', b'Chief Poporo']
animeVoices	[b'\nMatsumoto, Rica\nJapanese\n', b'\nKouda, Mariko\nJapanese\n', b'\nSugawara, Masashi\nJapanese\n', b'\nShiratori, Yuri\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nOno, Kenichi\nJapanese\n', b'\nSasaoka, Shigezou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMochizuki, Tomomi\n\nDirector, Storyboard\n\n', b'\nDokite, Tsukasa\n\nDirector\n\n', b'\nChiba, Kouichi\n\nSound Director\n\n', b'\nMatsumoto, Rica\n\nTheme Song Performance\n\n']
