animeTitle	Onegai♪My Melody Kirara★
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	327
animeRank	
animePopularity	9736
animeDescription	Sequel to Onegai My Melody Sukkiri.
animeRelated	['Onegai My Melody Sukkiri♪']
animeCharacters	['Kuromi', 'My Melody', 'Hoshizuki, Kirara', 'Piano-chan', 'Baku', 'Yumeno, Uta']
animeVoices	['Sakuma, Rei', 'Tanaka, Reina', 'Maeda, Noboru']
animeStaff	[['Moriwaki, Makoto', 'Director'], ['Ikehata, Hiroshi', 'Episode Director, Storyboard'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Takeuchi, Junko', 'Theme Song Performance']]
