animeTitle	Super Robot Taisen OG The Animation
animeType	OVA
animeNumEpisode	3
releaseDate	2005-05-27 00:00:00
endDate	2005-12-23 00:00:00
animeNumMembers	
animeScore	6.65
animeUsers	1544
animeRank	
animePopularity	7853
animeDescription	"Dr. Jurgen of DC developed a global defense system to combat potential alien threats. This system has two elements. First is the VTX-001 Vartoul unmanned anti alien PT. Governing these drones is the ODE worldwide network system. However, this system has a noteworthy secret. A living human is needed to control the ODE core. Furthermore, the ODE core needs human organs to support itself. At the present day, the drone have gone on a mass abduction spree. Kyosuke and co has been sent in to take care of the problem.

(Source: ANN)"
animeRelated	['Super Robot Taisen OG: The Inspector']
animeCharacters	['Browning, Excellen', 'Nanbu, Kyosuke', 'Luckfield, Brooklyn', 'Zonvolt, Sanger', 'Andou, Masaki', 'Vadim, Viletta', 'Subbota, Latune', 'Date, Ryuusei', 'Loveless, Lamia', 'Branstein, Elzam von']
animeVoices	['Mizutani, Yuuko', 'Morikawa, Toshiyuki', 'Sugita, Tomokazu', 'Ono, Kenichi', 'Midorikawa, Hikaru', 'Tanaka, Atsuko', 'Hirai, Riko', 'Miki, Shinichiro', 'Shimizu, Kaori', 'Inada, Tetsu']
animeStaff	[['Kawagoe, Jun', 'Director'], ['JAM Project', 'Theme Song Performance'], ['Tanaka, Ryou', 'Animation Director, Character Design']]
