animeTitle	Xiongmao Monogatari TaoTao
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	113
animeRank	
animePopularity	14027
animeDescription	"TaoTao is an anime series about the eponymous Taotao, a small panda. In the stories, Taotao has adventures with his animal friends and listens to the stories of his mother, the mommy panda.

(Source: AniDB)"
animeRelated	['TaoTao Ehonkan Sekai Doubutsu Banashi']
animeCharacters	['Tao Tao']
animeVoices	[]
animeStaff	[['Nakahara, Shuuichi', 'Art Director']]
