animeTitle	Bakuretsu Hunters
animeType	TV
animeNumEpisode	26
releaseDate	1995-10-03 00:00:00
endDate	1996-03-26 00:00:00
animeNumMembers	18501
animeScore	6.69
animeUsers	5724
animeRank	5144
animePopularity	4135
animeDescription	"In the continent of spooner, sorcerers, who are the continent's aristocrats, have begun to abuse their powers. Under the guidance of Big Momma (their boss) Carrot (who turns into a giant monster every time he's placed under a magic spell), Gateau (a bodybuilder), Marron (a mage), Chocolate and Tira (who can transform into dominatrix's at will) must stop the evil sorcerers from picking on the weak; however, none of them (except maybe Marron) have a clue to what's going on. 

(Source: ANN)"
animeRelated	['Bakuretsu Hunters', 'Bakuretsu Hunters OVA', 'Chivas 1-2-3']
animeCharacters	['Glace, Marron', 'Misu, Tira', 'Glace, Carrot', 'Misu, Chocolate', 'Mocha, Gateau', 'Daughter', 'Doctor Iiwa', 'Sukoya', 'Leina', 'Day, Yester']
animeVoices	['Madono, Mitsuaki', 'Hayashibara, Megumi', 'Furumoto, Shinnosuke', 'Mizutani, Yuuko', 'Yanada, Kiyoyuki', 'Tamagawa, Sakiko', 'Shimazu, Saeko', 'Tatsuta, Naoki', 'Inoue, Kikuko', 'Tsuru, Hiromi']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer'], ['Kobayashi, Noriko', 'Producer'], ['Mashimo, Kouichi', 'Director'], ['Kato, Takao', 'Episode Director, Storyboard']]
