animeTitle	Ao no Exorcist
animeType	TV
animeNumEpisode	25
releaseDate	2011-04-17 00:00:00
endDate	2011-10-02 00:00:00
animeNumMembers	
animeScore	7.54
animeUsers	964995
animeRank	
animePopularity	32
animeDescription	"Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king.

Ao no Exorcist follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio.

[Written by MAL Rewrite]"
animeRelated	['Ao no Exorcist', 'Ao no Exorcist: Ura Ex', 'Ao no Exorcist: Kuro no Iede', 'Ao no Exorcist Movie', 'Ao no Exorcist: Kyoto Fujouou-hen']
animeCharacters	['Okumura, Rin', 'Okumura, Yukio', 'Pheles, Mephisto', 'Kuro', 'Amaimon', 'Kirigakure, Shura', 'Fujimoto, Shirou', 'Moriyama, Shiemi', 'Suguro, Ryuuji', 'Shima, Renzou']
animeVoices	['Watanabe, Akeno', 'Fukuyama, Jun', 'Kamiya, Hiroshi', 'Takagaki, Ayahi', 'Kakihara, Tetsuya', 'Satou, Rina', 'Fujiwara, Keiji', 'Hanazawa, Kana', 'Nakai, Kazuya', 'Yusa, Kouji']
animeStaff	[['Okamura, Tensai', 'Director, Episode Director, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Kawatsura, Shinya', 'Episode Director'], ['Fujiwara, Yoshiyuki', 'Episode Director, Storyboard, 2nd Key Animation, Key Animation']]
