animeTitle	Miki no Mikoto
animeType	ONA
animeNumEpisode	1
releaseDate	2018-06-07 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15155
animeDescription	"The story of the franchise takes place in a large shopping area called ""Yayoimachi"" where gods and ayakashi (supernatural monsters) are rumored to appear. The Seishu no Miko (refined sake princes) work at the ""Matsuyoian"" drinking establishment there as shop-keeps, learning the way of Japan's famed omotenashi (hospitality). 

(Source: ANN)"
animeRelated	['Miki no Mikoto (2020)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
